participant_id,session_id,watched_titles,watched_categories,unique_category_count,top_category,top_category_rate,total_videos,total_view_sec,mean_view_sec,completion_rate,early_skip_rate,switch_per_min,view_sec_var,max_consecutive_skip,late_skip_increase,session_minutes,category_view_time_ratios,top_view_time_category,top_view_time_category_rate,view_time_sec__science_and_technology,view_time_ratio__science_and_technology,view_time_sec__howto_and_style,view_time_ratio__howto_and_style,view_time_sec__gaming,view_time_ratio__gaming,view_time_sec__entertainment,view_time_ratio__entertainment,view_time_sec__comedy,view_time_ratio__comedy,view_time_sec__sports,view_time_ratio__sports,view_time_sec__pets_and_animals,view_time_ratio__pets_and_animals,view_time_sec__news_and_politics,view_time_ratio__news_and_politics,view_time_sec__film_and_animation,view_time_ratio__film_and_animation,view_time_sec__music,view_time_ratio__music,view_time_sec__autos_and_vehicles,view_time_ratio__autos_and_vehicles
P001,d3e746d3-93e1-4971-b08b-bde8b3912c49,毎年騙される夏に想像する冬と冬に想像する夏 | カタールのニュース | この中でお医者様はいますかでいなかった飛行機 | 妹との勝負に負けて悔しがって暴れる姉ww | 目隠しで飲料水を当てる | リフトアップレーザーに使うコンタクトレンズ | 激しい筋トレ | 第5人格スマホゲーム広告 | スマホゲーの広告 | 銭湯で激しく踊り狂う | MLBピッチャー　解説陣も思わず衝撃を受けた理由 | 清涼飲料水の砂糖の量に驚愕 | 捨てられることを直感した犬 | これからの季節にぴったりな高機能エイジングケア化粧水,Entertainment | News & Politics | Howto & Style | Comedy | Science & Technology | Sports | Gaming | Pets & Animals,8,Entertainment,0.14285714285714285,14,78.46438122417702,5.604598658869787,0.07142857142857142,0.07142857142857142,7.18225430705058,8.906382926188137,1,-0.14285714285714285,1.8100166666666666,Science & Technology:0.218985 | Howto & Style:0.172603 | Gaming:0.164099 | Entertainment:0.148885 | Comedy:0.132198 | Sports:0.106275 | Pets & Animals:0.050020 | News & Politics:0.006935,Science & Technology,0.21898529882455964,17.18254596946057,0.21898529882455964,13.54316854949051,0.17260275730457797,12.875932117588281,0.16409907166413562,11.6821591105359,0.14888486888285443,10.37285554904507,0.13219827120549457,8.338775485682039,0.10627466062413342,3.92479867946326,0.05002013166012099,0.544145762911378,0.006934939834123254,,,,,,
P002,16f374cf-c22c-42d8-8dfc-29fd0f278b4a,海外で男が女の子を守る | 新宿グルメ！一般開放している安うま食堂TOP3 | ふわとろ超極厚オムレット | 小さな惑星で荷物を届けるゲーム | 災害時の子どもの感動的な救出シーン | ドライバーの方法 | 卓球vs体操　逆タイムアタック選手権！！ | 頑張りすぎて壊れた心が教えてくれたこと10選 | 女優と風邪薬 | fpsの実況 | 車の後ろのスペースにペットを入れる,Entertainment | Howto & Style | Gaming | News & Politics | Sports | Pets & Animals,6,Howto & Style,0.2727272727272727,11,36.67001620380573,3.333637836709612,0.09090909090909091,0.2727272727272727,9.387320858626948,7.725332606149581,2,0.1333333333333333,1.0652666666666666,Sports:0.343757 | Gaming:0.235237 | Entertainment:0.195165 | Howto & Style:0.130578 | Pets & Animals:0.084376 | News & Politics:0.010887,Sports,0.34375724347001985,,,4.788299670722032,0.1305780625814146,8.62614107137814,0.23523690372634445,7.15669178119264,0.19516467463272885,,,12.60558368822122,0.34375724347001985,3.09406423895735,0.08437586233289524,0.399235753334346,0.010887253256596927,,,,,,
YUTA KAWATSU,0f4aa29e-e6a2-4259-b4f3-b2a8aa9b2b53,ランニング中の息が切れた時の3回呼吸リセット方法,Howto & Style,1,Howto & Style,1.0,1,92.90098158419806,92.90098158419806,1.0,0.0,0.0,0.0,0,,0.9508833333333333,Howto & Style:1.000000,Howto & Style,1.0,,,92.90098158419806,1.0,,,,,,,,,,,,,,,,,,
test003,ca8ccf4d-98a6-497a-b7d0-0a991f809069,極厚豚と極太麺の二郎ラーメン | 海外映画の名シーン | 車の競争で競い合うアニメ | もし父親が自分を悪魔との取引に差し出したとしたらあなたはその人を許せるだろうか？ | リフトアップレーザーに使うコンタクトレンズ | ワンちゃんにハイタッチ　最高に可愛いハイタッチする犬 | 有名人も食べに来たサンドウィッチ屋をレビュー,Entertainment | Film & Animation | Science & Technology | Pets & Animals,4,Entertainment,0.375,7,45.1609772052864,6.451568172183771,0.14285714285714285,0.2857142857142857,6.826585758983597,15.45755027206319,2,0.5,0.8789166666666667,Entertainment:0.473695 | Film & Animation:0.337339 | Pets & Animals:0.153519 | Science & Technology:0.035447,Entertainment,0.4736949588216561,1.60079903847937,0.03544651018516901,,,,,21.39252723760389,0.4736949588216561,,,,,6.93308474287749,0.15351936941847055,,,15.234566186325647,0.33733916157470434,,,,
test01,57f2c159-1a0b-41ad-bac2-b5db49445f96,これめっちゃわかる！！ | 最近流行りのヘアスタイル | ツンデレ | 子供より楽しんでいる大人w,Entertainment | Howto & Style,2,Entertainment,0.8,4,36.65797367384338,9.164493418460845,0.0,0.0,3.2718944268731596,13.806168988091912,0,0.0,0.9169,Entertainment:0.849885 | Howto & Style:0.150115,Entertainment,0.8498850243226136,,,5.50291082643127,0.1501149756773864,,,31.15506284741211,0.8498850243226136,,,,,,,,,,,,,,
test02,59c9b2b8-d5a3-4b95-85a8-cd3b221b0b78,海でダンス！ | 人間性まで最強　MLBを変えた日本人野球選手 | 家の妹の特別なダイエット方法 | 1人3役のモノマネメドレー | 中国屋台 | fpsの実況,Entertainment | Sports | Howto & Style | Gaming,4,Entertainment,0.5,6,36.81561448310851,6.135935747184752,0.0,0.0,5.269536807714602,3.595507901425073,0,0.0,0.94885,Entertainment:0.544059 | Gaming:0.168517 | Sports:0.153283 | Howto & Style:0.134142,Entertainment,0.544058574547923,,,4.93852777302551,0.13414220684246278,6.204039,0.16851651363435735,20.029850736785882,0.544058574547923,,,5.64319697329712,0.15328270497525698,,,,,,,,,,
test04,fb214389-86a0-4cf7-a71e-4ef8fe0b80a9,これ以上愛されないと思った娘 | 迷惑クレーム客 | 高校の時にしていたメイクを再現してみるという女性 | 感動ストーリー，新しい家族 | 自分の道，自分の物語を紡ごう | お金が貯まる家は物が少ない | ボイストレーナーが歌う今年の名曲 | 双子姉妹のお出かけ | コスメ紹介,Film & Animation | Entertainment | Howto & Style | Gaming | Music,5,Entertainment,0.4444444444444444,9,17.014821739005598,1.8905357487783998,0.0,0.8888888888888888,14.994377108584281,3.859532501027467,8,0.25,0.5335333333333333,Film & Animation:0.412196 | Entertainment:0.272042 | Howto & Style:0.160101 | Gaming:0.101569 | Music:0.054091,Film & Animation,0.4121956642498516,,,2.724094477213924,0.16010126459151072,1.72818281750235,0.10156925791003618,4.628753095765556,0.2720424090694044,,,,,,,,,7.013435748802228,0.4121956642498516,0.920355599721541,0.0540914041791971,,
usei,984a3039-623b-45e9-845d-5a86ba609de0,美しい髪に必要な要素　美人女優が紹介 | 韓国アイドルグループの歌とダンス | Z世代ってだいたいこんな感じ | 歴代運動動画TOP5 | 粘土で有名キャラを作る,Entertainment | Music | Howto & Style,3,Entertainment,0.6,5,16.68421998092652,3.336843996185304,0.0,0.0,8.650830840211945,0.2636788286765771,0,0.0,0.4623833333333333,Entertainment:0.637596 | Music:0.198106 | Howto & Style:0.164297,Entertainment,0.6375963094464033,,,2.741174,0.1642974021640642,,,10.637797085830691,0.6375963094464033,,,,,,,,,,,3.30524889509583,0.1981062883895325,,
ちいちく,4179490b-3004-4ae3-a19c-adcff7073a52,サッカーPK,Sports,1,Sports,1.0,1,92.07052301335148,92.07052301335148,1.0,0.0,0.0,0.0,0,,0.9154833333333333,Sports:1.000000,Sports,1.0,,,,,,,,,,,92.07052301335148,1.0,,,,,,,,,,
ちいちく,667929ab-31c0-4301-b833-e7f4d0f1e177,シール帳持ってる？ | 昔の飲み物CM | 猿が風船を膨らませて猫を驚かせる | 海外のスマホゲームのCM | 妖怪アニメに関する雑学 | 子供が気づいたらソファーでジャンプして遊んでいるからびっくりした | ブルドックと散歩 | スマホ戦略ゲーム | いつもそばにいる小さな命 | 頭を下げる前提の外交で日本が豊かになるわけない | 中国人美女の瓦割り | in our matching sweats,Entertainment | Pets & Animals | Gaming | Film & Animation | News & Politics,5,Entertainment,0.4166666666666667,12,20.238405766516845,1.6865338138764037,0.0,0.6666666666666666,17.305574492632022,1.16838969798652,4,0.0,0.6356333333333333,Entertainment:0.498694 | Pets & Animals:0.257153 | Gaming:0.102745 | News & Politics:0.074483 | Film & Animation:0.066924,Entertainment,0.4986941129560998,,,,,2.079404809702608,0.10274548468352437,10.092773811378732,0.4986941129560998,,,,,5.2043641566902235,0.2571528714628557,1.50742708627398,0.07448348964165559,1.3544359024713,0.06692404125586453,,,,
ちいちく,7246a598-c66c-4501-bdea-f746a28cc88d,美しい髪に必要な要素　美人女優が紹介 | 思わず笑っちゃう予想外の瞬間まとめ | 紙で作れる簡単ロケット | 猫動画お前ここにいたんだ？ちょっと出てきてくれる？,Entertainment | Comedy | Science & Technology | Pets & Animals,4,Entertainment,0.4,4,40.70970435476683,10.177426088691707,0.5,0.0,3.9595248570171577,57.31379107409153,0,0.0,0.7576666666666667,Entertainment:0.513281 | Pets & Animals:0.247471 | Comedy:0.134280 | Science & Technology:0.104967,Entertainment,0.51328145341587,4.27317510871887,0.10496698947946327,,,,,20.89553621934509,0.51328145341587,5.46651204577637,0.1342803179835984,,,10.0744809809265,0.2474712391210684,,,,,,,,
ちいちく,907e1a85-b098-4b16-ae18-ee35bf8d5173,それうちのポチだ,Film & Animation,1,Film & Animation,1.0,1,9.12735802098083,9.12735802098083,0.0,0.0,0.0,0.0,0,,0.13218333333333335,Film & Animation:1.000000,Film & Animation,1.0,,,,,,,,,,,,,,,,,9.12735802098083,1.0,,,,
カワツユウタ,6884aa67-c16e-4acc-8d0d-98e09df6b534,交差点運転でもブレーキをサポート,Autos & Vehicles,1,Autos & Vehicles,1.0,1,15.71480995231629,15.71480995231629,0.0,0.0,0.0,0.0,0,,0.3302,Autos & Vehicles:1.000000,Autos & Vehicles,1.0,,,,,,,,,,,,,,,,,,,,,15.71480995231629,1.0
カワツユウタ,8fabacbe-7df0-45b8-9155-ba4cc652c2e0,スマホゲーの広告,Gaming,1,Gaming,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1,,0.06905,,Gaming,,,,,,0.0,,,,,,,,,,,,,,,,,
テスト001,7c4d8e9f-5d0a-4dc1-83d3-3dd231f501e9,コスプレウィッグ作ってみた！ | 写真よりリアルな絵の描きかた | ドアを開けたら水が降ってくるイタズラ | ワールドシリーズ制覇の瞬間 | お笑い芸人とアイドルグループの絡みが最高すぎる,Howto & Style | Entertainment | Sports | Comedy,4,Howto & Style,0.4,5,25.001456572706537,5.0002913145413075,0.0,0.0,6.521030322791001,8.018842224300043,0,0.0,0.6134000000000001,Howto & Style:0.618880 | Sports:0.175150 | Entertainment:0.109437 | Comedy:0.096534,Howto & Style,0.6188801640774865,,,15.472905545892775,0.6188801640774865,,,2.73607378748829,0.10943657540637824,2.41347941183557,0.09653355214792984,4.3789978274899,0.17514970836820531,,,,,,,,,,
テスト002,400d25ea-681c-4ae0-8152-df54195cbe83,ある小さな女の子にジュース1杯を渡してあげたら,Entertainment,1,Entertainment,1.0,1,41.21189993092711,41.21189993092711,1.0,0.0,0.0,0.0,0,,0.43983333333333335,Entertainment:1.000000,Entertainment,1.0,,,,,,,41.21189993092711,1.0,,,,,,,,,,,,,,
テスト003,f243e9f7-cb37-463d-b58d-af19f1f26333,外国人は日本文化に慣れることができるのか | お子様連れでも安心して相談ができる環境を整えて皆様のご利用をお待ちしております | 新体操オリンピック演技,Entertainment | Howto & Style | Sports,3,Entertainment,0.625,3,66.11907206469937,22.039690688233122,0.6666666666666666,0.0,2.3007458251049715,451.0158494601966,0,0.0,0.8692833333333333,Entertainment:0.674119 | Howto & Style:0.289689 | Sports:0.036192,Entertainment,0.6741189200212693,,,19.15399981493744,0.2896894831826241,,,44.57211745306361,0.6741189200212693,,,2.39295479669832,0.03619159679610667,,,,,,,,,,
山田優,adb7bf6e-4bfe-4a0b-91a9-da4030ebdc3c,ペットショップでめっちゃはしゃいでたから家に迎えたらww | ドライバーの方法 | 好きバレすぎる高3男子 | お父さんのピアノの実力　娘が怒ってお父さん引いてみてよと言って実際に引いた結果 | これ一本でシミ予防、シワ改善できる？ | 可愛いラテアート | 世界でバズったiPhoneの開封動画 | 場所もメンバーも即興なのにこの完成度のネタは天才だ | ただのポテトチップスを描くだけなのに数式が必要な理由 | インナーカラー　ここだけ染めてみよう,Pets & Animals | Sports | Entertainment | Howto & Style | Comedy,5,Entertainment,0.36363636363636365,10,58.77263209898392,5.877263209898392,0.0,0.0,8.156606851549755,7.269330529466362,0,0.0,1.1034,Entertainment:0.330106 | Howto & Style:0.275729 | Pets & Animals:0.189200 | Sports:0.147048 | Comedy:0.057917,Entertainment,0.3301057661434592,,,16.20532015058658,0.27572901828343915,,,19.40118474730275,0.3301057661434592,3.40394763530022,0.05791722292728606,8.64241914616311,0.1470483597128624,11.119760419631259,0.18919963293295317,,,,,,,,
新福颯太,ceb58692-b176-43f2-ad5b-4d91dde4c8e8,絶品先住民族の伝統料理,Howto & Style,1,Howto & Style,1.0,1,19.222511834497283,19.222511834497283,1.0,0.0,0.0,0.0,0,,0.24065,Howto & Style:1.000000,Howto & Style,1.0,,,19.222511834497283,1.0,,,,,,,,,,,,,,,,,,
河津雄大,c1c0f43b-2b07-42af-88d1-cb094e84f286,小さな惑星で荷物を届けるゲーム,Gaming,1,Gaming,1.0,1,48.077645291824325,48.077645291824325,1.0,0.0,0.0,0.0,0,,0.5959333333333333,Gaming:1.000000,Gaming,1.0,,,,,48.077645291824325,1.0,,,,,,,,,,,,,,,,
