submission_id,survey_id,participant_id,video_condition,condition_order,total_conditions,page_session_id,started_at,completed_at,total_duration_sec,raw_tlx_sum,raw_tlx_mean,overall_workload,created_at,mental_question_id,mental_dimension_label,mental_display_order,mental_question_text,mental_slider_value,mental_first_shown_sec,mental_latency_to_first_input_sec,mental_cumulative_duration_sec,mental_visits,mental_revision_count,physical_question_id,physical_dimension_label,physical_display_order,physical_question_text,physical_slider_value,physical_first_shown_sec,physical_latency_to_first_input_sec,physical_cumulative_duration_sec,physical_visits,physical_revision_count,temporal_question_id,temporal_dimension_label,temporal_display_order,temporal_question_text,temporal_slider_value,temporal_first_shown_sec,temporal_latency_to_first_input_sec,temporal_cumulative_duration_sec,temporal_visits,temporal_revision_count,performance_question_id,performance_dimension_label,performance_display_order,performance_question_text,performance_slider_value,performance_first_shown_sec,performance_latency_to_first_input_sec,performance_cumulative_duration_sec,performance_visits,performance_revision_count,effort_question_id,effort_dimension_label,effort_display_order,effort_question_text,effort_slider_value,effort_first_shown_sec,effort_latency_to_first_input_sec,effort_cumulative_duration_sec,effort_visits,effort_revision_count,frustration_question_id,frustration_dimension_label,frustration_display_order,frustration_question_text,frustration_slider_value,frustration_first_shown_sec,frustration_latency_to_first_input_sec,frustration_cumulative_duration_sec,frustration_visits,frustration_revision_count,overall_question_id,overall_dimension_label,overall_display_order,overall_question_text,overall_slider_value,overall_first_shown_sec,overall_latency_to_first_input_sec,overall_cumulative_duration_sec,overall_visits,overall_revision_count
c03c7556-a8ec-4077-bfd4-89ddcd019974,nasa_task_90,test001,short,1,3,1747b09d-fca1-4790-98ff-58936240e8b0,2026-07-12T19:29:10.386+00:00,2026-07-12T19:29:48.14+00:00,37.754,314,52.3333333333333,87,2026-07-12T19:29:48.576308+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,87,0,2.183,11.717,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,19,11.717,1.083,7.1,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,87,18.817,0.868,3.7,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,17,22.517,0.899,5.8,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,83,28.317,1.083,2.717,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,21,31.035,0.95,2.949,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,87,33.984,1.05,2.716,1,0
e9badb2f-27b7-41fe-8d70-80a9343efc51,nasa_task_90,test001,med,2,3,1747b09d-fca1-4790-98ff-58936240e8b0,2026-07-12T19:29:54.121+00:00,2026-07-12T19:30:12.823+00:00,18.702,254,42.3333333333333,67,2026-07-12T19:30:13.030443+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,17,0,1.217,2.683,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,22,2.683,0.751,2.318,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,29,5,0.817,1.917,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,83,6.918,1.433,2.649,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,41,9.566,0.784,4.934,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,62,14.5,0.734,1.534,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,67,16.034,1.233,1.9,1,0
13b7da90-80da-4a40-8580-f0ca7b93925b,nasa_task_90,test001,control,3,3,1747b09d-fca1-4790-98ff-58936240e8b0,2026-07-12T19:30:17.021+00:00,2026-07-12T19:30:36.924+00:00,19.903,134,22.3333333333333,82,2026-07-12T19:30:36.979174+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,18,0,0.769,2.134,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,19,2.134,0.752,2.001,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,7,4.134,0.8,1.784,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,9,5.918,0.882,2.917,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,10,8.835,0.885,2.5,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,71,11.335,2.05,4.333,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,82,15.668,1.484,3.017,1,0
d1b53498-e134-4779-b309-9a7218211413,nasa_task_90,test001-v2,short,1,3,e1796593-dfe7-4b06-964f-f8b393af4dc6,2026-07-12T19:33:18.327+00:00,2026-07-12T19:33:43.914+00:00,25.586,143,23.8333333333333,0,2026-07-12T19:33:44.721339+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,85,0,1.119,6.718,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,7,6.718,1.066,2.6,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,13,9.318,0.983,2.583,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,3,11.901,1.418,3.45,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,34,15.351,0.634,1.534,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,1,16.886,1.302,2.833,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,0,19.719,2.134,3.667,1,0
869f7b71-6d9b-477c-bb50-810a4d0bd99c,nasa_task_90,test001-v2,short,1,3,c4863c63-c8e6-4144-b0be-af7dd789e213,2026-07-12T19:47:40.475+00:00,2026-07-12T19:47:56.08+00:00,15.604,38,6.33333333333333,10,2026-07-12T19:47:56.588372+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,4,0,0.816,1.966,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,4,1.966,0.916,1.8,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,5,3.766,0.767,1.917,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,4,5.683,0.866,1.816,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,4,7.5,0.817,1.717,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,17,9.217,2.549,3.266,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,10,12.483,1.317,2.217,1,0
2939477c-30e2-4c77-92ce-6355b5e16511,nasa_task_90,test001-v2,med,2,3,c4863c63-c8e6-4144-b0be-af7dd789e213,2026-07-12T19:47:59.942+00:00,2026-07-12T19:48:14.394+00:00,14.452,31,5.16666666666667,6,2026-07-12T19:48:14.406074+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,2,0,0.8,1.95,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,6,1.95,0.666,1.466,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,7,3.416,0.733,1.567,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,8,4.983,1.817,2.734,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,4,7.718,1.016,1.8,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,4,9.517,0.766,1.766,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,6,11.284,0.984,2.3,1,0
3cf2b71b-6a20-43c6-9d14-e8ce6dbe0a00,nasa_task_90,test001-v2,control,3,3,c4863c63-c8e6-4144-b0be-af7dd789e213,2026-07-12T19:48:19.075+00:00,2026-07-12T19:48:33.411+00:00,14.336,58,9.66666666666667,9,2026-07-12T19:48:33.40225+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,5,0,0.901,2.184,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,6,2.184,1.634,2.6,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,7,4.784,0.6,1.351,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,17,6.135,0.682,1.466,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,9,7.602,1.216,2.05,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,14,9.652,0.816,1.766,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,9,11.418,1.217,2.067,1,0
612c863b-2c1b-46ad-bfe9-5298f7391f3a,nasa_task_90,test007,short,1,3,76997634-8d4f-43a2-816f-ad72cd355430,2026-07-20T17:28:00.527+00:00,2026-07-20T17:28:20.031+00:00,19.504,129,21.5,13,2026-07-20T17:28:21.170279+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,12,0,1.25,3.7,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,65,3.7,0.75,1.567,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,16,5.267,0.7,1.566,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,10,6.833,1.084,2.018,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,15,8.851,0.734,1.949,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,11,10.8,1.033,2.233,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,13,13.033,0.884,1.966,1,0
f4a44b61-46a6-41fe-91c5-72fc5711bb5e,nasa_task_90,test999,short,1,3,d6e12686-e27a-42bd-803c-32a6d98b4b06,2026-07-17T18:08:56.923+00:00,2026-07-17T18:09:19.608+00:00,22.685,230,38.3333333333333,82,2026-07-17T18:09:20.268057+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,64,0.001,1.214,3.748,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,18,3.749,0.714,1.881,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,19,5.63,0.883,3.05,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,36,8.68,1.151,4.633,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,73,13.314,1.016,2.317,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,20,15.63,0.984,2.167,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,82,17.797,1.95,2.651,1,0
c1e81c48-e5a8-498d-a151-43a8cf815031,nasa_task_90,test999,med,2,3,d6e12686-e27a-42bd-803c-32a6d98b4b06,2026-07-17T18:11:13.605+00:00,2026-07-17T18:11:28.189+00:00,14.584,292,48.6666666666667,15,2026-07-17T18:11:29.056998+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,16,0.001,1.249,2.465,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,85,2.466,0.819,1.617,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,13,4.082,0.983,2.085,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,45,6.167,0.716,1.599,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,69,7.766,0.717,1.849,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,64,9.615,0.834,1.734,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,15,11.349,0.801,2.233,1,0
d4539fe5-d056-4f76-9eca-4783733f57cd,nasa_task_90,test999,control,3,3,d6e12686-e27a-42bd-803c-32a6d98b4b06,2026-07-17T18:11:54.12+00:00,2026-07-17T18:12:07.255+00:00,13.136,205,34.1666666666667,32,2026-07-17T18:12:07.425011+00:00,NTX_Mental,精神的要求,1,Q1. 直前の動画視聴タスクを行うために、どの程度頭を使いましたか？（考える、決める、記憶する、見るなど）,14,0,0.834,1.833,1,0,NTX_Physical,身体的要求,2,Q2. 直前の動画視聴タスクは、どの程度身体的に疲れましたか？,19,1.833,0.734,1.751,1,0,NTX_Temporal,時間的要求,3,Q3. 直前の動画視聴タスク中に、時間に追われている感覚はどの程度ありましたか？,57,3.584,0.701,1.701,1,0,NTX_Performance,パフォーマンス,4,Q4. 直前の動画視聴タスクの出来について、どの程度うまくできたと思いますか？（低い値ほど良い出来、高い値ほど悪い出来を表します）,21,5.285,0.9,2.166,1,0,NTX_Effort,努力,5,Q5. 直前の動画視聴タスクを行うために、どの程度努力しましたか？,80,7.451,0.733,1.399,1,0,NTX_Frustration,フラストレーション,6,Q6. 直前の動画視聴タスク中に、どの程度いらいら・不安・ストレスを感じましたか？,14,8.851,0.834,1.8,1,0,NTX_Overall,全体的負荷,7,Q7. 直前の動画視聴タスク全体として、どのくらいの負荷を感じましたか？,32,10.651,0.75,1.717,1,0
