source_row,participant_id,submission_id,video_condition,created_at,included,reason
2,A001,11bcc49a-85af-4a63-8371-531143d66291,short,2026-07-18T01:34:23.169358+00:00,True,included
3,A001,752a52f1-a965-4f54-93b4-36f93e5eb84d,med,2026-07-18T01:58:42.887031+00:00,True,included
4,A001,3e31f221-a8f3-4922-86de-1a7471cdaae2,control,2026-07-18T02:19:30.241935+00:00,True,included
5,A002,72f2d271-c767-4f6d-8481-6ece6c17eacc,short,2026-07-18T03:35:02.502975+00:00,True,included
6,A002,d5b8a238-0d93-455b-80be-81ca8eb59adc,med,2026-07-18T04:10:30.161727+00:00,True,included
7,A002,14464393-4a2f-496d-82dc-9cef40bfa1bf,control,2026-07-18T04:41:32.056692+00:00,True,included
8,A003,8e5fda18-db7d-4dfc-85a8-16210429d23c,short,2026-07-18T05:33:44.176719+00:00,True,included
9,A003,e9bdcc4b-173c-4447-a86c-db850db952e5,med,2026-07-18T06:08:15.546167+00:00,True,included
10,A003,b63751a9-2a91-4c42-969b-252a44a20499,control,2026-07-18T06:38:34.178963+00:00,True,included
11,A004,1d7c6f47-946c-4f11-ac72-356cd1941ce9,short,2026-07-18T07:32:56.391822+00:00,True,included
12,A004,3f260539-b6f3-413f-ab9b-249dcbcfdac3,med,2026-07-18T07:58:35.325763+00:00,True,included
13,A004,2155bd39-6e28-435f-8efc-5a68783aa023,control,2026-07-18T08:25:15.072452+00:00,True,included
14,A005,d06d527e-44a0-449f-ac91-4a03ed8826a2,short,2026-07-18T09:31:55.082135+00:00,True,included
15,A005,8cd3ddfb-4517-46dd-a52d-4a678ddb8988,med,2026-07-18T09:56:40.865894+00:00,True,included
16,A005,de2dfb72-f1f6-4340-859a-f68f42cd013b,control,2026-07-18T10:18:59.909858+00:00,True,included
17,A006,5fd48592-34a6-4fba-9a90-510be3f8dbb5,short,2026-07-19T01:32:13.446422+00:00,True,included
18,A006,496b917a-eb9b-4581-b19d-7440e0d1099e,med,2026-07-19T02:24:43.670334+00:00,True,included
19,A006,e80033c3-efa2-4382-9289-51206229eb6c,control,2026-07-19T01:58:29.83931+00:00,True,included
20,A007,c259a325-c454-4a3f-9647-5d250dcf3e5d,short,2026-07-19T01:32:31.591026+00:00,True,included
21,A007,31c31962-1f82-476b-ad3d-7dce24e585ab,med,2026-07-19T02:25:11.389765+00:00,True,included
22,A007,60f4085c-c9d4-4fa5-b408-ceb925900a14,control,2026-07-19T01:57:57.484198+00:00,True,included
23,A008,c81c8b60-5ab6-4f97-bd3c-0e5758523f5a,short,2026-07-19T01:40:05.466927+00:00,True,included
24,A008,c4e4a8f7-0958-40db-a731-7672224efbfd,med,2026-07-19T02:33:01.754846+00:00,True,included
25,A008,087befdb-eb46-4556-9f42-165d160b78b2,control,2026-07-19T02:05:53.761596+00:00,True,included
26,A009,5dca7f7a-706e-484e-91da-7be5cf20fa52,short,2026-07-19T02:04:37.345058+00:00,True,included
27,A009,58c2bf9f-da88-4003-b07c-9a2710da2bf2,med,2026-07-19T02:32:33.714726+00:00,True,included
28,A009,358d7a05-07e5-4294-b2a0-eb7ab75400b6,control,2026-07-19T02:12:07.868103+00:00,True,included
29,A010,2156689e-00c4-4265-b401-6584fc63e343,short,2026-07-19T01:33:23.920616+00:00,True,included
30,A010,54bee73f-27b7-44eb-941c-7701c3eb14f2,med,2026-07-19T02:14:39.028182+00:00,True,included
31,A010,b1625fd9-64fc-4e4f-9a61-6aaaa993e546,control,2026-07-19T01:53:36.750561+00:00,True,included
32,A011,5de5c282-b618-457f-bc84-d8c61348f3a9,short,2026-07-19T04:01:42.48493+00:00,True,included
33,A011,567de133-1563-4f85-98ea-9a56a9893591,med,2026-07-19T03:32:32.102591+00:00,True,included
34,A011,b74cb1db-b374-41e8-a8b9-b98d4a89a259,control,2026-07-19T04:30:54.190467+00:00,True,included
35,A012,85988b08-1098-45c9-a585-941585e344c0,short,2026-07-19T04:00:25.781715+00:00,True,included
36,A012,53d4b2fc-6cfb-4cb4-94d9-4f8c770c5637,med,2026-07-19T03:31:55.521344+00:00,True,included
37,A012,31ea25cc-327f-4118-aad7-19389b64de64,control,2026-07-19T04:32:10.846115+00:00,True,included
38,A013,e155caf2-fb90-457b-9bc9-f01f801d5729,short,2026-07-19T04:08:34.70789+00:00,True,included
39,A013,982eb542-0ae7-4b4d-a44d-ac44022b8a8a,med,2026-07-19T03:41:13.782947+00:00,True,included
40,A013,4395f5e9-2637-42d0-950a-2aecbe641836,control,2026-07-19T04:33:17.100363+00:00,True,included
41,A015,c96944dc-854d-4faa-98cd-86ccd4b3c678,short,2026-07-19T04:01:17.410599+00:00,True,included
42,A015,2dc842b5-c9e1-4540-96f1-04d2e15356fb,med,2026-07-19T03:37:11.789726+00:00,True,included
43,A015,e5468017-360b-42f2-bd9b-c6be3bcb4c97,control,2026-07-19T04:27:04.168996+00:00,True,included
44,A016,730cd579-903d-40fb-b857-ac476fc9ceb3,short,2026-07-19T06:24:42.777235+00:00,True,included
45,A016,c595dee0-e60c-4415-a137-5169f2474cdd,med,2026-07-19T05:36:34.450175+00:00,True,included
46,A016,7008eedc-fc61-4d66-aa62-2ed8c92cc34b,control,2026-07-19T05:59:51.514127+00:00,True,included
47,A018,1d3eea7c-dfb9-4baf-82e4-0e0359a4048d,short,2026-07-19T06:26:11.32865+00:00,True,included
48,A018,7b7f0370-4822-4d2b-9166-cd2cc80bd1f1,med,2026-07-19T05:35:36.771074+00:00,True,included
49,A018,1ffe02d0-214b-411a-914a-aee423a3d999,control,2026-07-19T06:01:34.425088+00:00,True,included
50,A019,36f4eb39-a813-41f7-a886-3718a468727e,short,2026-07-19T06:27:46.986642+00:00,True,included
51,A019,6437d480-c9b6-4c19-87c7-42497242658a,med,2026-07-19T05:38:06.20391+00:00,True,included
52,A019,77ec5017-1cea-4c67-9aff-6ea23b657f01,control,2026-07-19T06:03:49.681068+00:00,True,included
53,A020,42854cb4-0d52-4a46-a644-74ecbf89ec65,short,2026-07-19T06:23:46.321538+00:00,True,included
54,A020,0c95df40-3019-492e-abe4-e876319f4365,med,2026-07-19T05:34:39.927496+00:00,True,included
55,A020,af48feaa-7741-454d-b611-4964c86f6526,control,2026-07-19T05:58:55.193512+00:00,True,included
56,A021,911aacce-29bc-429d-a2f3-948124d89546,short,2026-07-19T08:08:39.657945+00:00,True,included
57,A021,bc12503e-7a9f-430f-bbdf-96a247bb05de,med,2026-07-19T08:38:38.673009+00:00,True,included
58,A021,417cad48-a61c-439a-805c-9b3f0aaa78b2,control,2026-07-19T07:37:17.148075+00:00,True,included
59,A022,0d7e5ba2-1944-4948-9913-a3f8ad9d463e,short,2026-07-19T08:22:41.452858+00:00,True,included
60,A022,ae858c31-468e-4314-8171-ae8f35b4d04a,med,2026-07-19T08:51:01.301273+00:00,True,included
61,A022,3e41f69e-756c-4260-8bd0-c42c0061d7e5,control,2026-07-19T07:48:41.256099+00:00,True,included
62,A023,b3c0f249-501d-47f4-bb9d-e21b3ab8ef0d,short,2026-07-19T08:05:55.134913+00:00,True,included
63,A023,693b623d-2c42-4e5d-810a-acd7d8b7497f,med,2026-07-19T08:33:52.752413+00:00,True,included
64,A023,eebcaece-2b71-4942-b201-1c720b30f059,control,2026-07-19T07:37:48.195774+00:00,True,included
65,A024,482e8cbc-bc0f-41f3-8b4e-a186b59570be,short,2026-07-19T08:00:54.404255+00:00,True,included
66,A024,4b9b048f-578e-4c34-a557-fd2176811d80,med,2026-07-19T08:26:56.660089+00:00,True,included
67,A024,1cc85766-912b-4e06-bec3-7adb74609e5b,control,2026-07-19T07:34:08.134359+00:00,True,included
68,A025,e9dbdcbf-c7ec-418a-83a7-e23dd852f9d1,short,2026-07-19T07:59:27.920771+00:00,True,included
69,A025,c30f545b-ddb7-40d7-b401-1062e2249bca,med,2026-07-19T08:22:54.920328+00:00,True,included
70,A025,70e214c0-9d09-49ca-87b0-f07ec9633413,control,2026-07-19T07:34:40.067421+00:00,True,included
71,A027,5f66b1fc-a039-4b7d-9787-573b6ab30c0f,short,2026-07-19T10:31:53.603213+00:00,True,included
72,A027,c1073667-b4ff-4958-8a7e-3114e7346b72,med,2026-07-19T10:02:35.32261+00:00,True,included
73,A027,a2ccf0db-cb9b-40f0-aaab-e9bdfdf33ddd,control,2026-07-19T09:36:37.069287+00:00,True,included
74,A028,8eee1658-8c97-4b3d-9b46-5b6c4b43ba26,short,2026-07-19T10:32:52.363242+00:00,True,included
75,A028,55b2f4f3-ed15-4509-a025-a206450e672a,med,2026-07-19T10:07:03.3549+00:00,True,included
76,A028,0e7945f5-28d0-4bc9-bae7-2debba04fd39,control,2026-07-19T09:38:11.962815+00:00,True,included
77,A029,1246051e-9ebd-4400-8beb-7ef1b8359998,short,2026-07-19T10:31:22.896092+00:00,True,included
78,A029,efc4e80b-2a1b-4085-b77c-3a946547d74e,control,2026-07-19T09:38:22.445797+00:00,True,included
79,A029,6fcd14aa-f8d4-4479-9a99-4920f9a8c716,control,2026-07-19T10:06:52.591964+00:00,True,included
80,cancel,17132d7e-d3b2-47f3-aeda-48f95056fe5d,med,2026-07-19T10:02:25.119107+00:00,False,invalid_participant_id
81,test,29232e89-66a6-41b7-a615-fb3cf7ea118e,short,2026-07-20T17:41:41.978295+00:00,False,invalid_participant_id
82,test001,8e1707f8-cfc7-4bab-b122-007291790ef3,short,2026-07-12T17:20:19.977537+00:00,False,invalid_participant_id
83,test001,22448cf0-311d-4270-b2a4-6827462ebb7a,short,2026-07-12T17:20:34.677212+00:00,False,invalid_participant_id
84,test001,490c1220-2ca2-4382-96df-e1f14cafdbd8,short,2026-07-12T17:20:46.192253+00:00,False,invalid_participant_id
85,test002,3473940c-0879-4a3b-a5be-9135375b5d5e,short,2026-07-12T17:36:16.503584+00:00,False,invalid_participant_id
86,test002,8e5cc542-5e86-463c-b25d-ef572ddba198,short,2026-07-12T17:36:49.631585+00:00,False,invalid_participant_id
87,test002,3585162a-ce1b-4413-a87e-c9dd0a83da96,short,2026-07-12T17:37:00.038275+00:00,False,invalid_participant_id
88,test003,fbb548ba-2a62-4532-8252-ddc5bbae9f02,short,2026-07-12T17:43:08.303836+00:00,False,invalid_participant_id
89,test004,eaa37488-cc27-49c1-b89b-ae17f22dc10e,short,2026-07-12T17:51:38.989672+00:00,False,invalid_participant_id
90,test004,7fc679ec-a0f5-48d1-ae9d-a13d6270b8ff,med,2026-07-12T17:53:03.596744+00:00,False,invalid_participant_id
91,test004,fba89492-4630-44bb-b9d4-f1ea2b33f552,control,2026-07-12T17:53:29.944434+00:00,False,invalid_participant_id
92,test005,db9425bf-2649-4975-aa93-1afd21da9022,short,2026-07-12T17:59:48.636527+00:00,False,invalid_participant_id
93,test005,87e9696c-dab4-410a-b02f-0d4bab693430,med,2026-07-12T18:00:02.274518+00:00,False,invalid_participant_id
94,test005,af6f3705-e20e-40d0-ab5c-86e5c6a5da78,control,2026-07-12T18:00:28.950433+00:00,False,invalid_participant_id
95,test007,0523d32a-60df-4767-8a3c-e7b56f4afa0a,short,2026-07-12T18:24:41.796083+00:00,False,invalid_participant_id
96,test007,08124139-c240-40f4-848a-8b1a0203f334,med,2026-07-12T18:24:52.010809+00:00,False,invalid_participant_id
97,test007,84f0dd59-bd9f-4f8d-b44d-62d855f07a1a,control,2026-07-12T18:24:30.517257+00:00,False,invalid_participant_id
98,tets006,fa2d7502-910f-437d-be9d-348f7a431996,short,2026-07-12T18:18:13.906095+00:00,False,invalid_participant_id
99,tets006,9261ebc9-9d64-422b-9208-dceae01f4158,med,2026-07-12T18:17:55.904881+00:00,False,invalid_participant_id
100,tets006,9b3a8ca8-a0ef-4536-aae5-4075ec0de616,control,2026-07-12T18:18:50.225265+00:00,False,invalid_participant_id
