participant_id,source_row,category,category_label,question_id,variant_number,display_order,question_text,answer_text,Latency,Writing,Chars,video_condition
A001,2,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,映像を見ることは今まで見たことがないものを仮想の経験として得ることができ、その点において私の世界を拡張すると考えらる。一方で、映像として視覚を用いて情報を受けることで、クリエイティブな創造性や、視覚以外の情報から描写をイメージする力が衰えるという点において私の世界を制限すると考える。,10.246,103.994,142,short
A001,3,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,自分の見たことのない世界について仮想体験をすることで、新しい知見が得られるという点で世界が拡張すると思う。一方で、視覚以外の情報から描写を創造する力は衰えると思う。その点において世界が制限されていると思う。,6.948,81.084,103,med
A001,4,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,様々な立場の人間の視点になって物語に参加することで、いろいろなことを考えることができ、人生が豊かになるから。,4.387,43.375,54,control
A002,5,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,映画の世界に没入させ、一時的に現実世界のことを脳内から忘却させる,22.551,48.509,32,short
A002,6,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間、他者との会話の時間、画面から目を離さなければ実行できない行動の機会,11.276,133.016,36,med
A002,7,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,映画のストーリーを通して様々な世界や境遇、価値観、考えに触れることで視野を広げるため。,16.201,78.644,43,control
A003,8,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,手軽に非日常を味わえるものだから。,18.686,49.596,17,short
A003,9,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,"映像を観ている間は、その映像に思考が縛り付けられる。
映像を見た後は、その映像の情報が自分に追加され、その後の思考や生活に影響を及ぼす。情報が追加されたことで新たな束縛条件が増えて自分にとっての世界が制限されているとも言えるし、新たな変数が増えて世界が広がるとも言えるが、個人的には後者の要素の方が強いと思う。",21.051,346.211,155,med
A003,10,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,"時間
映画を見る前の価値観",12.427,31.239,13,control
A004,11,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間とお金,12.738,16.829,5,short
A004,12,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,映画を見ることで，自分では経験しえないような体験を映像を通して疑似体験し，感情を呼び起こすことができるから。,9.235,61.346,54,med
A004,13,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,映像にうつる，もの，人，概念に対する新しい知見を与える一方で，その見方を一つにしてしまうことも考えられる。,10.875,92.018,53,control
A005,14,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,映画を見る前のワクワク感、疑問点,15.628,30.748,16,short
A005,15,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,現実では起こりにくい出来事を、映像から味わうことができる。,6.767,92.955,29,med
A005,16,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,刺激が欲しいから。普通に生きているだけだとなかなか高揚感を味わう機会が少ない。映画はそれを手っ取り早く与えてくれる。,16.161,35.736,58,control
A006,17,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間,10.096,46.019,2,short
A006,18,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,知らなかったり、知ることのできない世界を知ることができる。また、挑戦することを促すこともあればそれを制限することもある。,8.098,77.684,60,med
A006,19,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,"新しい観点から物事を見ることができるようになる可能性があるから。
娯楽として人生を豊かにするため。",10.657,44.026,49,control
A007,20,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,まだ知らない情報を獲得し、知見を広げる。,14.895,12.434,20,short
A007,21,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,物語を鑑賞することで、自分が生まれていなかった時代の頃の人間に思いを馳せられるから。,12.564,27.561,42,med
A007,22,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,なにか失うという感覚はないが、強いて言えばつまらない映画を見ることによって時間を失う。,5.906,39.921,43,control
A008,23,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,日常の娯楽と想像力の発達のために必要だと思う。2時間程度ではあるが、日常では味わえない景色や現実世界ではありえないようなシチュエーションは人の感情を興奮させてくれると思う。,26.268,156.962,86,short
A008,24,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,未知の分野への一歩として新しい世界を拡張している。しかしその映画にのめりこみ過ぎると映画を見ていない日常に時間でもその映画のことばかり考え、意識し、世界を制限してしまう場面もあると思う。,18.173,125.767,93,med
A008,25,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,その映画を見ている時間を失うのと見ている最中は自分の他の事情を忘れることができる,7.622,64.82,40,control
A009,26,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,様々な視点を得ることができると思う。,9.522,11.546,18,short
A009,27,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,"時間
お金",7.99,7.165,5,med
A009,28,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,とある人の人生を長い時間みることで、新たな視点を得ることができるため。,20.486,35.302,35,control
A010,29,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,知らない世界や経験したことない世界にいける想像力を掻き立ててくれると思います。一方で事前情報などを知っていないと理解しきれない箇所があり、一般教養を必要とすると思うためそこが制限になるかと考えます,9.72,56.262,98,short
A010,30,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,似たような人物の人生を映画で先に見ている場合、新しく出会う現実の人物が似ていた場合驚きを失う。相手をカテゴライズして物事を見てしまうこと。,15.719,48.625,69,med
A010,31,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,映画で起こった出来事を見て自分の行動や人生を振り返り、今の生き方をさらに豊かにするために,5.779,35.899,44,control
A011,32,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,映画を見ることにより、少なからず自分の価値観は書き変わると思う。そのため、映画を見る前の価値観を失うと言える。,12.746,53.116,55,short
A011,33,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,見たことのない映像を見ることにより、想像もしなかった視点からの映像を楽しめる点で世界は拡張するが、映像に没頭している時間、外界との接続は遮断されるため、その点では実世界の活動を制限されていると考えられる。,9.314,89.244,102,med
A011,34,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,大抵の映画にはメッセージが込められている。そのメッセージを汲み取ることで、自分の考えを強固にできたり、あるいは自分と違う思考を吸収できたりする。これらによって、総じて自分の思考力は伸びると思う。それゆえ、映画は必要だと考える。,12.09,147.316,113,control
A012,35,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,非日常を体感するため。違う人になりきる体験をし、考えや感情の幅を広げるため。,3.732,51.239,38,short
A012,36,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,知らない世界について詳しくなる、インスピレーションを得る、という点で世界を拡張する。一方で、映像を見たことによって先入観も同時に持つようになり、自由な発想が生まれにくくなる。,7.707,93.261,87,med
A012,37,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,"時間を失う。
また、エンタメ性の高い映画を見ることは、現実逃避にもなり得るため、するべきことをしなくてはという焦燥感が失われる。",37.845,87.581,64,control
A013,38,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,大きな身体的な動作とほかのことを考える思考。,48.593,78.42,22,short
A013,39,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,例えば、戦国時代の戦を見たときに歴史を想像でき、見ているときはそれだけに集中することになる。,37.687,102.282,46,med
A013,40,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,内容に共感することで、自分は独りではないことに気づくため。,57.288,92.973,29,control
A015,41,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,"自分の知らない世界、考え方を知るため
またシンプルに娯楽として必要",10.691,32.498,33,short
A015,42,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,私の知らないものを知った時は世界を広げるが、私の知っているものを見た時は世界を固定化するように感じる。,1.742,91.599,51,med
A015,43,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,見る前まで持っていた価値観,7.912,47.067,13,control
A016,44,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,映画を見ることで一定の時間を娯楽に没頭することに費やすことができるから,24.279,97.878,35,short
A016,45,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,他人の人生や経験を追体験することができるので、映画を見ることで自分の世界の体験の幅を広げることができると思う。一方で、他人の経験に縛られてしまうという面もあると思う。,37.936,80.408,83,med
A016,46,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間とお金,6.637,24.887,5,control
A018,47,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,娯楽として、自分の人生ではない物語を安全圏から楽しめるから。,6.427,17.328,30,short
A018,48,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,世界を拡張するという意味では、自分の興味のなかった世界を知るきっかけにはなるかもしれないと思う。ただ、映像を見ている間は、特に目と耳はそこに注目しなくてはいけない場合が多いのでその点では制限されているようにも思う。,15.524,74.592,107,med
A018,49,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,その映画を見ている時間,6.97,17.224,11,control
A019,50,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,色々な感情になることができるから。いろいろな感情を経験することで人生が豊かになる。歴史や教訓を知ることができるから。,4.598,48.458,58,short
A019,51,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間、お金,17.586,22.148,5,med
A019,52,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,映像を見ることは自分の知見や感情を拡張させていると思う。しかし、映像を見るという行為は時間を制限すると思う。,6.479,93.532,54,control
A020,53,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,普通であれば得られない体験を与える。,57.797,6.828,18,short
A020,54,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間、その映画を観る直前に持っていたワクワク感,30.638,23.661,23,med
A020,55,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,日常では得られない体験を擬似的に行える。,8.1,9.118,20,control
A021,56,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,映画を見る行為によって、私は文字だけで想像する力を失う。,10.149,77.965,28,short
A021,57,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,映画を観ることによって自分とは異なる他人の視点や生き方、思想を見ることができ、自分の人生にそれらを取り入れることでより豊かなものになりうると思うから人の人生には映画が必要だと思う。,12.413,89.501,90,med
A021,58,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,「映像を観る」という体験は、「この先一体何が起こるんだろう」「この映像で伝えたいこと・目的は何なのだろうか」といった想像力を拡張させると思う。,10.745,151.021,71,control
A022,59,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,映画を見ることで、特に見た直後、映画を自分の中で消化しきるまでは、映画内に出てきた考え方や行動に多少なりとも影響されることになる。映画によるバイアスがかかることになるという意味では、映画によるバイアスのない視点を失っている。,13.033,132.569,112,short
A022,60,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,自分一人の人生では、社会で多種多様な人間と関わって生きていくために足りない想像力を補うことができるから。,5.435,80.747,52,med
A022,61,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,映像を観ているときは、見ている瞬間には、視界や思考を動画に集中させているという意味で自分の世界を制限している。一方で、同時に、映像の中で自分の知らない世界が出てきたと感じる場合、自分の世界が広がったという感覚が明確にある。また、映像を観るということを通して、映像を観た後の生活の中で、映像と似た状況や知識と対面したとき、自分が認識できる世界が広がったという実感を改めて確かめる体験もある。,24.146,168.606,194,control
A023,62,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間,5.832,4.726,2,short
A023,63,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,人の人生に映画が必要だと思ったことがないため、なんとなくの想像した感想となってしまいますが、知らないものを知る一つの手段になるからと思いました。（学校の義務教育のような…）,32.621,89.257,86,med
A023,64,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,自分の視野を広げるもの、新しい知識を無意識にインプットできるものと考えています。,17.973,64.023,40,control
A024,65,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,自分では味わえない、みたことのない景色や情景、感情に触れることができるから。映画のメッセージを自分なりに受け取ることができるから。時代を超えた作品に出会い、楽しむことができるから。,63.252,41.263,90,short
A024,66,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間とお金。,4.327,24.34,6,med
A024,67,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,今まで経験したことのない世界へ誘ってくれる。自分の世界に対して新しい刺激をくれる。,6.598,55.868,41,control
A025,68,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,お金、時間,11.821,10.865,5,short
A025,69,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,非現実的なことが起こるのではないかと理想を抱いてしまう。失敗してもなんとかなると希望を抱いてしまう。,7.972,43.729,50,med
A025,70,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,見ることで人生に楽しみが増えると思うから、ストレス溜まって何かを忘れたい時に見るのにちょうどいいから。,9.801,58.766,51,control
A027,71,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,単純に物語を楽しむという娯楽の観点と、多様な思想、社会、生き方を知り自分の世界を広くするため。,15.769,65.817,47,short
A027,72,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間と、映画の内容にもよるが自分の価値観との相違による自分の考え方への自信のようなもの,18.697,63.507,43,med
A027,73,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,自分の体験できない視点での出来事や、そもそも現実ではありえない世界観を見せてくれる映像は、自分の中にいくつも別の世界の断片を作ってくれるように思う。,22.175,99.291,74,control
A028,74,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,"映像を観るという体験は、リアリティによって感受性を育てる。そのため、世界に対して自分事だと思う力が養われ、世界そのものが拡張されうる。
しかし、そのリアリティによって想像の余地が奪われ、想像力が奪われ、その点においては世界が制限されると思う。",3.638,77.774,121,short
A028,75,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,"想像力。
書籍や音楽といった、ある種知覚に対しての多くの空白を持つコンテンツとは違い、映画はそういった空白が少ない。たとえば時間は決められているし、視覚的・聴覚的に何が起きているかを認識するのは比較的たやすい。
そのせいで、何が起きているかなどを全て説明されないと分からないというような認知の仕方になってしまうだろうと思う。",11.744,195.725,162,med
A028,76,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,"娯楽としての役割が大きい。人生は意味のない暇つぶしのものであり、視覚情報だけの書籍や聴覚情報だけのラジオや音楽より大きな刺激を得ることで、暇つぶしを容易にすることができる。
さらに、本だけでは得られないリアリティを映画で感じることで、感受性をはぐくむことができるので、ある種教育的な役割も果たしているかもしれない。子どもへの教育にも適していると思う。",4.484,138.623,175,control
A029,77,general,General,general_v2,2,1,Q1. 映画を見るという行為によって、あなたは何を失いますか？,時間,7.68,7.08,2,short
A029,78,general,General,general_v3,3,1,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,映像を見ることでイメージや想像力が膨らみ、理解力が向上すると考える。また、映像を見ることで自分に対する目標を持つこともできるし、逆に落ち込んだりすることもあると思う。,15.786,153.135,83,control
A029,79,general,General,general_v1,1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,つらいときや考えるときの思考のたすけになるため。,12.412,44.594,24,med
A001,2,content,Content,content_v1,1,5,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,人を愛し、自分の信念にまっすぐに、曲げないように強くあろうと努力し続けることが正しい生き方なのではないかと感じた,4.09,26.11,56,short
A001,3,content,Content,content_v3,3,5,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,ただ何もせず、時間を過ごすためだけにいろんな場所にいったり、うろうろしていたりした。何かをしたい、寂しさを感じるが、地位を守るために何もしないという葛藤が見えた。,8.64,71.815,81,med
A001,4,content,Content,content_v1,1,3,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,私にとって正しい生き方は、大事な人を悲しませず、何が大事かを見失わず、自分の信念をもって人生の選択をし続けることだと思う,3.546,45.864,60,control
A002,5,content,Content,content_v2,2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,主観的に物事を捉えてしまう面,136.976,66.523,14,short
A002,6,content,Content,content_v3,3,2,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,主人公の男性が地位を守るために毎日自ら無為に過ごすことへの生きづらさ,13.708,198.167,34,med
A002,7,content,Content,content_v1,1,4,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,権力者におもねてその考えにただ従うのではなく、人々や世の実情に向き合ってそれらのために何をすべきか考え、行動に移すこと。,10.378,126.665,60,control
A003,8,content,Content,content_v2,2,5,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,侍には、戦いをしてでも貫きたい理想や信念がある点。,8.901,107.315,25,short
A003,9,content,Content,content_v3,3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,自分のつまらない現状に思うところがあるが、地位を守るためには何もしない方が良い、というジレンマが描かれていた。,5.841,90.139,55,med
A003,10,content,Content,content_v1,1,5,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,基本的に自分の指針に沿った、自分が納得できる行動や選択をすること。,20.274,77.259,33,control
A004,11,content,Content,content_v3,3,4,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,映像を見る限り，主人公は大人数で動くよりは単独行動を好みそうだったので，主人公を取り巻く人々や組織を主人公がどう扱うか，という選択が重要な要素として描かれているように思った。,4.976,185.528,87,short
A004,12,content,Content,content_v1,1,5,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,自分を気にかけてそばにいてくれる人のことは省みなければならない。,7.588,54.069,32,med
A004,13,content,Content,content_v2,2,3,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,覚悟を持った人間は人を切ることをためらわないし，命を大切にする感性を併せ持つこともある，人間の様々な側面をもつ部分,5.968,81.295,57,control
A005,14,content,Content,content_v1,1,5,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,家族と仲良く暮らす。信念を持って生きる。,18.14,45.321,20,short
A005,15,content,Content,content_v3,3,2,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,人を切るか切らないかという葛藤。侍がいなくなりそうな世の中でどう生きていくかという苦悩。,19.914,40.219,44,med
A005,16,content,Content,content_v2,2,5,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,人を愛する気持ち、人の残忍な一面,5.851,24.934,16,control
A006,17,content,Content,content_v2,2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,人の醜い部分と善の部分,5.712,22.305,11,short
A006,18,content,Content,content_v1,1,5,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,少しの楽しみも逃さないこと,14.499,15.418,13,med
A006,19,content,Content,content_v3,3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,愛を優先するか地位や忠誠を優先するか,8.112,45.972,18,control
A007,20,content,Content,content_v3,3,4,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,侍という立場を持つ者同士が自分自身の選択に悩み、どのように物事を進めるべきかを悩むような描写,4.093,67.142,46,short
A007,21,content,Content,content_v2,2,5,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,欲求など理性的な面とは反する、その人の本性が現れる部分,6.693,38.878,27,med
A007,22,content,Content,content_v3,3,4,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,登場する女性はどちらの男性にこれから先ついていくべきか、大きい悩みが描かれていたと思う。,6.155,46.913,44,control
