video_condition,category,category_label,question_id,variant_number,question_text,measure,n,mean,sd,median,minimum,maximum
control,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Chars,8,52.5,20.10685739457348,60.0,16.0,81.0
control,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Latency,8,13.03825,6.876207275817098,11.877500000000001,3.546,23.997
control,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Writing,8,64.903625,38.17791922765791,61.19799999999999,13.319,126.665
control,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Chars,11,38.45454545454545,27.61652996436604,33.0,12.0,104.0
control,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Latency,11,11.954272727272725,11.569088979612085,5.968,3.771,38.818
control,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Writing,11,57.99372727272728,36.547831489955485,35.402,24.934,130.362
control,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Chars,7,68.0,63.650085100754836,44.0,18.0,199.0
control,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Latency,7,10.761,9.594654952975988,6.155,3.263,25.704
control,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Writing,7,56.72899999999999,37.29153636327328,45.972,18.394,126.315
control,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Chars,8,113.625,81.72066970566783,78.0,32.0,219.0
control,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Latency,8,13.294125000000001,7.356792069480518,15.1835,2.612,25.684
control,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Writing,8,127.04325,91.37971624217269,114.818,23.242,302.984
control,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Chars,8,53.125,28.170082914833095,47.0,23.0,98.0
control,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Latency,8,19.923625,13.804967097156423,15.792,10.14,51.869
control,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Writing,8,83.64737500000001,27.630016322509526,86.57900000000001,51.667,132.954
control,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Chars,10,82.0,34.64101615137755,78.5,27.0,132.0
control,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Latency,10,15.1176,12.567759132001218,12.781,3.015,37.872
control,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Writing,10,104.7729,49.679724456764056,93.8845,46.999,192.166
control,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Chars,11,61.0,44.71688719041163,49.0,20.0,175.0
control,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Latency,11,15.039454545454545,14.937745997061514,10.657,4.387,57.288
control,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Writing,11,65.43436363636364,44.51659594190178,44.026,9.118,147.316
control,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Chars,7,27.0,22.08317610006918,13.0,5.0,64.0
control,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Latency,7,12.188428571428572,11.510690318962093,7.622,5.906,37.845
control,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Writing,7,44.677,24.49733473257856,39.921,17.224,87.581
control,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Chars,8,76.25,50.05068859238031,62.5,40.0,194.0
control,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Latency,8,14.347125,6.755930673701228,13.3305,6.479,24.146
control,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Writing,8,109.68674999999999,42.64574485472478,96.41149999999999,55.868,168.606
control,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Chars,9,34.22222222222222,29.435428389008447,28.0,5.0,90.0
control,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Latency,9,10.956111111111111,7.148289838213831,11.39,2.633,23.904
control,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Writing,9,40.950222222222216,44.475772783555364,24.918,3.464,142.082
control,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Chars,9,32.0,14.696938456699069,31.0,9.0,55.0
control,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Latency,9,11.172444444444444,10.928395583422928,5.222,3.349,33.486
control,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Writing,9,56.24711111111111,67.67938518936997,35.135,10.458,230.838
control,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Chars,8,34.125,22.074144539321498,32.5,5.0,62.0
control,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Latency,8,22.81275,23.497526488365295,18.3055,1.995,77.275
control,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Writing,8,45.034125,31.538774871746597,46.2655,4.483,85.93
control,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Chars,8,25.75,19.586803137389655,22.5,4.0,68.0
control,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Latency,8,5.608874999999999,2.225627580032203,5.3765,1.843,9.103
control,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Writing,8,30.961625,14.815659678071322,30.024,9.959,50.43
control,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Chars,8,37.25,24.32958222881296,34.0,6.0,78.0
control,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Latency,8,6.17525,1.8327713402697798,6.504,3.624,8.997
control,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Writing,8,60.89725,53.43967160867342,49.739,19.542,187.664
control,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Chars,10,35.1,17.387415628040362,37.5,11.0,62.0
control,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Latency,10,23.700200000000002,30.413866200943424,12.629999999999999,2.826,102.552
control,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Writing,10,71.90119999999999,33.324229156042676,74.0675,24.303,135.012
med,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Chars,8,66.125,75.88607532723924,31.0,13.0,232.0
med,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Latency,8,9.809375,3.535656574204328,8.16,5.856,14.61
med,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Writing,8,56.944375,45.82495394413554,39.7745,15.418,134.459
med,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Chars,7,25.857142857142858,21.774821632859755,19.0,3.0,57.0
med,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Latency,7,16.138714285714283,22.367505133670182,6.122,4.535,65.152
med,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Writing,7,24.88357142857143,20.097592400228297,29.515,4.138,56.439
med,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Chars,11,44.45454545454545,32.19119021211746,39.0,12.0,120.0
med,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Latency,11,10.341181818181818,4.571174287164773,9.344,5.492,19.914
med,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Writing,11,72.52272727272727,51.995023094698034,64.822,20.101,198.167
med,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Chars,11,94.54545454545455,54.69070055569527,89.0,36.0,203.0
med,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Latency,11,13.064545454545454,6.874398684447046,12.398,2.213,27.056
med,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Writing,11,124.18063636363637,59.556042321955424,145.336,45.62,219.69
med,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Chars,7,54.57142857142857,36.34490859738653,44.0,26.0,135.0
med,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Latency,7,15.873,7.043321328274987,15.1,6.013,25.782
med,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Writing,7,110.81514285714286,83.53597991569976,84.475,35.656,270.773
med,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Chars,8,100.875,54.20710944410995,88.5,45.0,201.0
med,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Latency,8,17.938375,19.473149271588596,11.886,2.395,61.828
med,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Writing,8,101.792125,50.7679347041516,100.2585,38.155,206.656
med,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Chars,6,58.0,25.581243128511172,53.0,24.0,90.0
med,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Latency,6,14.113333333333335,9.485055965394547,12.412500000000001,5.435,32.621
med,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Writing,6,65.501,25.560118646047016,71.0465,27.561,89.501
med,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Chars,8,43.625,52.83380276192236,29.5,5.0,162.0
med,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Latency,8,14.747125,8.03945969111109,13.7315,4.327,30.638
med,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Writing,8,64.773375,66.03947989528147,36.4825,7.165,195.725
med,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Chars,12,80.5,35.01817709808332,85.0,29.0,155.0
med,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Latency,12,14.909916666666666,11.979376903346191,8.706,1.742,37.936
med,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Writing,12,108.23466666666667,77.34706745141236,90.42150000000001,43.729,346.211
med,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Chars,9,34.333333333333336,12.338962679253067,27.0,22.0,52.0
med,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Latency,9,7.407,1.8322501876108515,7.413,4.066,10.673
med,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Writing,9,45.922888888888885,38.54960033010862,29.735,14.271,140.664
med,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Chars,6,47.0,44.15427499121687,26.5,19.0,134.0
med,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Latency,6,11.072666666666668,7.623577734021388,10.6975,2.062,24.226
med,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Writing,6,48.740833333333335,24.30285483161735,46.537,22.98,89.144
med,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Chars,11,38.63636363636363,23.053297930112848,32.0,20.0,99.0
med,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Latency,11,14.708,11.308953567859408,11.564,3.242,43.316
med,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Writing,11,48.22609090909091,24.8464253624321,42.599,18.875,83.078
med,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Chars,11,34.90909090909091,17.677412398055015,37.0,6.0,60.0
med,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Latency,11,7.822727272727272,6.580197141285497,6.659,2.968,26.667
med,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Writing,11,44.127272727272725,35.05912875155602,28.632,5.204,127.18
med,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Chars,7,33.714285714285715,19.939193277849245,34.0,10.0,59.0
med,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Latency,7,8.271571428571429,3.8225596946349474,7.685,3.857,14.31
med,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Writing,7,65.53671428571428,56.64739265760395,42.631,8.509,160.524
med,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Chars,8,25.75,14.88767467211912,23.5,11.0,57.0
med,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Latency,8,28.432875000000003,41.50985747106171,7.33,5.68,125.873
med,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Writing,8,49.752375,35.30094266219085,43.578,15.112,122.482
short,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Chars,10,38.9,28.90001922336923,25.0,12.0,90.0
short,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Latency,10,18.1418,16.35850912658132,13.1395,3.249,52.667
short,content,Content,content_v1,1,Q2. 先ほどの映像の中で、「何が正しい生き方なのか」についてあなたの考えを教えてください。,Writing,10,37.2393,26.775468382872827,26.587,13.876,100.23
short,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Chars,8,18.5,10.542431272854339,16.0,5.0,35.0
short,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Latency,8,27.67925,45.30078484261772,9.478,2.155,136.976
short,content,Content,content_v2,2,Q2. 先ほどの映像は、人のどのような部分を映し出していると思いますか？,Writing,8,37.70675,33.24436025962041,25.4075,10.942,107.315
short,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Chars,8,51.5,23.670355178697978,48.0,14.0,87.0
short,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Latency,8,6.0965,2.8397702120317514,5.007,2.553,10.971
short,content,Content,content_v3,3,Q2. 先ほどの映像では、登場人物のどのような選択や葛藤が描かれていたと思いますか？,Writing,8,77.38974999999999,49.71207595961252,65.478,24.081,185.528
short,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Chars,9,79.55555555555556,36.95981301059,74.0,25.0,125.0
short,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Latency,9,14.24288888888889,13.77258435665257,9.574,4.149,48.949
short,emotion,Emotion,emotion_v1,1,Q4. 先ほどの映像を観た後、あなたは最後にどのような感情が残りましたか？ 経緯を追って説明してください。,Writing,9,91.594,49.01555275114216,78.552,34.034,159.407
short,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Chars,9,61.77777777777778,50.402821790495466,40.0,20.0,157.0
short,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Latency,9,12.954,6.809090908484039,10.485,5.586,25.355
short,emotion,Emotion,emotion_v2,2,Q4. 「心が動く」とは、それまでの自分の見方や感じ方が揺さぶられる現象とも言えます。そのような揺らぎは、あなたの内側でどのような変化として現れると思いますか？,Writing,9,73.11566666666666,59.10942258219074,67.569,16.854,198.404
short,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Chars,8,71.75,43.02739990816483,72.0,9.0,150.0
short,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Latency,8,18.073875,7.175629657538275,21.151,6.092,24.982
short,emotion,Emotion,emotion_v3,3,Q4. 先ほどの映像を観ている間に、あなたの気持ちはどのように変化しましたか？ 印象に残った場面とあわせて説明してください。,Writing,8,98.459625,51.49629656569629,101.859,16.408,153.941
short,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Chars,9,48.22222222222222,25.217938941246658,38.0,17.0,90.0
short,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Latency,9,19.30022222222222,18.426567652290657,15.769,3.732,63.252
short,general,General,general_v1,1,Q1. なぜ人の人生には映画が必要だと思いますか？,Writing,9,62.337666666666664,41.93384448449724,49.596,17.328,156.962
short,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Chars,10,24.9,34.88855272307969,10.5,2.0,112.0
short,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Latency,10,14.8316,12.1928429753779,12.279499999999999,5.832,48.593
short,general,General,general_v2,2,Q1. 映画を見るという行為によって、あなたは何を失いますか？,Writing,10,45.8337,41.03348103425895,38.3835,4.726,132.569
short,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Chars,7,64.14285714285714,54.28452379647006,32.0,18.0,142.0
short,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Latency,7,18.338428571428572,18.349289458151986,10.246,3.638,57.797
short,general,General,general_v3,3,Q1. 「映像を観る」という体験は、あなたの世界をどのように拡張、あるいは制限すると思いますか？,Writing,7,45.33528571428571,37.25945512535167,48.509,6.828,103.994
short,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Chars,8,38.0,24.413111231467404,30.5,12.0,83.0
short,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Latency,8,11.767,5.213464847324254,11.8,5.968,19.62
short,inquiry,Inquiry,inquiry_v1,1,Q3. 先ほどの映像の制作者があなたに残した「問い」は何だと思いますか？,Writing,8,59.29375,40.66427592494425,49.1525,14.286,139.49
short,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Chars,13,31.76923076923077,25.354663759532965,23.0,3.0,83.0
short,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Latency,13,9.114153846153846,4.554344589622708,8.963,2.532,17.001
short,inquiry,Inquiry,inquiry_v2,2,Q3. 先ほどの映像が描こうとしている最も根本的な問いは何だと思いますか？,Writing,13,54.259076923076925,52.373871369639936,34.602,3.239,169.177
short,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Chars,5,34.8,16.90266251216062,38.0,16.0,57.0
short,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Latency,5,9.494800000000001,8.250187222118054,6.198,3.68,23.966
short,inquiry,Inquiry,inquiry_v3,3,Q3. 先ほどの映像を通して、制作者はあなたにどのような「問い」を残しましたか？,Writing,5,69.85900000000001,100.6211149734488,31.668,6.225,248.699
short,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Chars,6,33.5,12.72399308393399,38.5,10.0,43.0
short,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Latency,6,12.762833333333333,7.088398166487734,9.4455,6.265,23.475
short,summary,Summary,summary_v1,1,Q5. 先ほどの映像を一文で表すと、どのような物語になりますか？,Writing,6,43.61533333333333,28.142259906884995,31.953500000000002,27.405,99.79
short,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Chars,12,34.916666666666664,13.069453166089469,33.0,14.0,55.0
short,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Latency,12,12.66025,8.582729626459702,10.1905,3.729,33.903
short,summary,Summary,summary_v2,2,Q5. 先ほどの映像で起きたことを、映像を観ていない人にも伝わる一文で要約してください。,Writing,12,61.15108333333333,34.56332202430867,61.1225,14.436,141.96
short,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Chars,8,37.75,27.468163389640743,34.0,7.0,80.0
short,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Latency,8,9.013,5.575176717250443,8.318000000000001,2.594,20.192
short,summary,Summary,summary_v3,3,Q5. 先ほどの映像の中心的な出来事や意味を、一文でまとめてください。,Writing,8,49.430125,24.963287125797354,45.7505,15.981,86.478
